epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4116.69,0.88041,0.49901,1.19526,0.77871,0.66015,0.68152,0.34592,1.92559,1.19681,2.19442,0.0005348,0.0005348,0.0005348
76,4169.53,0.84556,0.48886,1.17561,0.84064,0.70935,0.74365,0.38521,1.86628,0.99001,2.03619,0.000515,0.000515,0.000515
77,4221.59,0.84312,0.48314,1.18476,0.82522,0.7157,0.73012,0.38653,1.85045,0.96172,2.03953,0.0004952,0.0004952,0.0004952
78,4274.42,0.85784,0.48956,1.19135,0.86199,0.71883,0.78332,0.40315,1.82458,1.01834,1.98603,0.0004754,0.0004754,0.0004754
79,4331.64,0.85271,0.49147,1.19899,0.79661,0.72781,0.72415,0.38093,1.84305,1.04304,2.06345,0.0004556,0.0004556,0.0004556
80,4382.9,0.84773,0.49529,1.18645,0.79073,0.69927,0.71355,0.37392,1.91335,0.99747,2.14108,0.0004358,0.0004358,0.0004358
81,4434.46,0.83222,0.48354,1.17812,0.83035,0.68215,0.73065,0.38082,1.82362,1.0389,2.05247,0.000416,0.000416,0.000416
82,4488.14,0.83138,0.48263,1.17231,0.80587,0.70032,0.73189,0.36779,1.86494,1.02565,2.07681,0.0003962,0.0003962,0.0003962
83,4542.58,0.8355,0.47969,1.17615,0.82953,0.6846,0.73787,0.38023,1.86572,1.02929,2.05895,0.0003764,0.0003764,0.0003764
84,4594.77,0.81103,0.45135,1.15986,0.82925,0.71243,0.76808,0.39142,1.84816,0.95633,1.99645,0.0003566,0.0003566,0.0003566
85,4649.04,0.8166,0.4572,1.15972,0.87191,0.68949,0.75729,0.40436,1.8019,0.99816,1.98035,0.0003368,0.0003368,0.0003368
86,4702.49,0.80125,0.45272,1.15663,0.85004,0.72372,0.76713,0.39862,1.82987,0.98443,2.00718,0.000317,0.000317,0.000317
87,4754.6,0.77484,0.44537,1.14369,0.77963,0.69193,0.72926,0.37396,1.89742,1.0079,2.13998,0.0002972,0.0002972,0.0002972
88,4807.45,0.797,0.4539,1.15914,0.86377,0.69759,0.75996,0.39936,1.79989,0.97793,2.0049,0.0002774,0.0002774,0.0002774
89,4862.46,0.79289,0.45139,1.15435,0.82588,0.69583,0.74293,0.38009,1.84073,0.99762,2.03511,0.0002576,0.0002576,0.0002576
90,4918.49,0.76376,0.43572,1.13069,0.77579,0.72754,0.74188,0.36903,1.92385,1.00641,2.18972,0.0002378,0.0002378,0.0002378
91,4974.64,0.67251,0.35642,1.1325,0.77369,0.67237,0.69122,0.3374,1.93764,1.01991,2.28243,0.000218,0.000218,0.000218
92,5028.33,0.63266,0.31859,1.10058,0.80322,0.7086,0.73243,0.3723,1.866,1.02508,2.15273,0.0001982,0.0001982,0.0001982
93,5080.56,0.63489,0.31543,1.10597,0.87703,0.71883,0.78124,0.40272,1.80469,0.98994,2.03527,0.0001784,0.0001784,0.0001784
94,5131.41,0.61073,0.30488,1.09132,0.85337,0.69725,0.73215,0.37888,1.81521,0.99558,2.06958,0.0001586,0.0001586,0.0001586
95,5184.05,0.61107,0.29872,1.08449,0.82464,0.69682,0.72648,0.37398,1.89667,1.01502,2.21697,0.0001388,0.0001388,0.0001388
96,5238.32,0.59276,0.29377,1.08714,0.8294,0.67753,0.72072,0.36574,1.86621,1.05943,2.20048,0.000119,0.000119,0.000119
97,5299.3,0.58482,0.29111,1.06905,0.82791,0.68225,0.72064,0.37752,1.83643,1.03402,2.1265,9.92e-05,9.92e-05,9.92e-05
98,5354.76,0.58577,0.28821,1.071,0.85282,0.68001,0.72983,0.37869,1.83276,1.04271,2.11387,7.94e-05,7.94e-05,7.94e-05
99,5408.3,0.57553,0.28764,1.07504,0.83009,0.68088,0.71649,0.36282,1.86442,1.04032,2.18542,5.96e-05,5.96e-05,5.96e-05
100,5459.02,0.5783,0.28702,1.05777,0.84782,0.6577,0.71262,0.36451,1.88169,1.03552,2.21917,3.98e-05,3.98e-05,3.98e-05
